iter	Logloss
0	0.5471615838
1	0.4490118858
2	0.3854151233
3	0.3360048008
4	0.2987209843
5	0.2772197709
6	0.2582491539
7	0.2344399246
8	0.2288780347
9	0.2078720013
10	0.1898384639
11	0.1844822978
12	0.1751681086
13	0.1720708158
14	0.1668850582
15	0.1614505281
16	0.1569750667
17	0.1543510291
18	0.1520790044
19	0.1485819511
20	0.1467208742
21	0.1435621289
22	0.1414576633
23	0.140142903
24	0.1386462576
25	0.1369965552
26	0.1355380494
27	0.1343588067
28	0.132783306
29	0.1315480619
30	0.130374192
31	0.1294675555
32	0.1287233115
33	0.1275683547
34	0.126099045
35	0.1251887224
36	0.1239461399
37	0.1229938137
38	0.1218544563
39	0.1209612284
40	0.1206033551
41	0.1195816813
42	0.1188406356
43	0.118123316
44	0.1174859342
45	0.1165813232
46	0.1159711094
47	0.1159236412
48	0.1151485102
49	0.1147292811
50	0.1143053649
51	0.1131093513
52	0.1126277048
53	0.1120380709
54	0.1111227759
55	0.1105381504
56	0.1094880501
57	0.1091006259
58	0.1081664575
59	0.1078855109
60	0.1070473791
61	0.106293886
62	0.1056808224
63	0.1054115598
64	0.1051075455
65	0.1048167126
66	0.1042377513
67	0.1032617436
68	0.1026834841
69	0.1023743518
70	0.1017003064
71	0.1014706507
72	0.1009744109
73	0.100614414
74	0.1002098557
75	0.1000754461
76	0.0994848344
77	0.09948073766
78	0.09905697532
79	0.09881713367
80	0.09827947081
81	0.09800615442
82	0.09713628489
83	0.09656551271
84	0.09598755517
85	0.09546849568
86	0.09520521146
87	0.09476737412
88	0.09448887611
89	0.09447697949
90	0.09407607538
91	0.09376178641
92	0.09331108812
93	0.09263334789
94	0.09248384356
95	0.09196697079
96	0.09175251492
97	0.09170299908
98	0.09140724513
99	0.09112928657
100	0.09097331243
101	0.0902662871
102	0.08989630888
103	0.08941275078
104	0.08897458665
105	0.08843743665
106	0.08798792171
107	0.08773207377
108	0.08722152827
109	0.08697470022
110	0.08663827087
111	0.08624985455
112	0.08586148615
113	0.08554809295
114	0.085031944
115	0.08485347283
116	0.08435602481
117	0.08405062229
118	0.08356580434
119	0.08321294064
120	0.08295962762
121	0.08244205554
122	0.08211321384
123	0.0815604528
124	0.08119166521
125	0.0807544173
126	0.08043078879
127	0.08008133777
128	0.07973185696
129	0.07914879763
130	0.07864247125
131	0.07825343421
132	0.07773348965
133	0.07728811679
134	0.07687355714
135	0.07656690282
136	0.0760236197
137	0.07574271704
138	0.07538234074
139	0.07501966704
140	0.07469214428
141	0.07437815654
142	0.07382289529
143	0.07372242992
144	0.07348536438
145	0.07347074806
146	0.07287586983
147	0.07254041601
148	0.07230339466
149	0.0718204313
150	0.07149250394
151	0.07109833466
152	0.07087390933
153	0.0704719887
154	0.0700896231
155	0.06965943416
156	0.0693519215
157	0.06933823984
158	0.0689630713
159	0.06860297574
160	0.06828394802
161	0.06797807061
162	0.06796343072
163	0.06792530732
164	0.06768808025
165	0.06747356938
166	0.06745712908
167	0.06707379195
168	0.0668569751
169	0.06628862068
170	0.06604475932
171	0.06572987612
172	0.06524541739
173	0.06506347314
174	0.06488793334
175	0.06460655243
176	0.06459907569
177	0.06436370469
178	0.06390103594
179	0.06363998414
180	0.06334133772
181	0.06333668885
182	0.06315134271
183	0.06298659406
184	0.06265109537
185	0.06217022832
186	0.06185205059
187	0.06160739516
188	0.0614669008
189	0.06114983248
190	0.06084389199
191	0.06083488887
192	0.06074146114
193	0.06072924184
194	0.06049959974
195	0.06024383988
196	0.06023249757
197	0.06022552175
198	0.05978981813
199	0.05950996293
200	0.05950341357
201	0.05911444409
202	0.05881969843
203	0.05855486517
204	0.058468535
205	0.05845331031
206	0.05833732395
207	0.05810607689
208	0.0579580759
209	0.05756100602
210	0.05730369125
211	0.05712332917
212	0.0569070495
213	0.05690216381
214	0.05669594119
215	0.05648710945
216	0.05634945371
217	0.05610200792
218	0.05591125484
219	0.05590481005
220	0.05570003927
221	0.05554806936
222	0.05535067663
223	0.05518591804
224	0.05486778071
225	0.0545793072
226	0.05425502693
227	0.05407098803
228	0.05406507611
229	0.05378765214
230	0.0535452887
231	0.05338671376
232	0.05337573046
233	0.05324579789
234	0.05323585991
235	0.0530707499
236	0.05306410335
237	0.05305788959
238	0.0528967246
239	0.05277168828
240	0.052766351
241	0.05248889011
242	0.05225380419
243	0.05205735036
244	0.05204054723
245	0.05203160989
246	0.05199085687
247	0.05172606639
248	0.05161029327
249	0.05147303523
250	0.05123959992
251	0.05097840889
252	0.05097190429
253	0.05081259917
254	0.05062587511
255	0.05057152367
256	0.05030358702
257	0.05018937313
258	0.05014830699
259	0.0499893584
260	0.0498467145
261	0.04965241943
262	0.04951138399
263	0.04929460692
264	0.04915520913
265	0.0489591283
266	0.04878366534
267	0.04864237749
268	0.04849965614
269	0.04833297592
270	0.04824180571
271	0.04823829036
272	0.04807909464
273	0.04795751355
274	0.04791088087
275	0.04785862916
276	0.04777827721
277	0.04773813235
278	0.04758486352
279	0.04751018759
280	0.04744404545
281	0.04727436291
282	0.04722644044
283	0.04713862574
284	0.04706615413
285	0.04697323125
286	0.04683109115
287	0.04675762165
288	0.04663186625
289	0.04646610457
290	0.04634019095
291	0.04626023579
292	0.04617132078
293	0.04604345834
294	0.04579655643
295	0.04566432124
296	0.04542974961
297	0.04535572059
298	0.04527973205
299	0.04521485249
